Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
leo-silver,Leo Silver,"<meta charset=""utf-8"">
<p><span>Leo ring in plated silver<br></span><strong>Sizes: 9, 10</strong></p>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/852d2c14-8ee0-461a-b865-e00173a14dbe.png?v=1588455838,1,,false,,,,,,,,,,,,,,,,,lb,,
leo-gunmetal-ring-1,Leo Gunmetal Ring,"<meta charset=""utf-8""><span>leo ring in gunmetal <br><strong>Sizes: 9, 10</strong></span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/7fdf23a7-601d-4f01-b9b3-0d7f3a407249.png?v=1588455777,1,leo ring in gunmetal,false,,,,,,,,,,,,,,,,,lb,,
leo-gold-swarovski-crystal-ring,Leo Gold + Swarovski Crystal Ring,"<meta charset=""utf-8""><span>Leo ring in gold plated and swarovski crystal</span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/1fb0002b-45de-45f0-961c-e7a9b2983789.png?v=1588455697,1,Leo ring in gold plated and swarovski crystal,false,,,,,,,,,,,,,,,,,lb,,
gunmetal-hexagon-rings,Gunmetal Hexagon Rings,"<meta charset=""utf-8""><span>Gunmetal plated hexagon rings:<br><strong>Sizes: (7) 3.5</strong></span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,228.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/0f449a9f-724e-4381-b0a5-40145610934b.png?v=1588455530,1,Gunmetal plated hexagon rings,false,,,,,,,,,,,,,,,,,lb,,
gunmetal-fringe-necklace-2,Gunmetal Fringe Necklace,"<meta charset=""utf-8""><span>17 inch gunmetal fringe necklace</span>",MONA ASSEMI,Necklace,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,188.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/GunmetalFringe2.png?v=1588455443,1,17 inch gunmetal fringe necklace,false,,,,,,,,,,,,,,,,,lb,,
gunmetal-fringe-necklace-1,Gunmetal Fringe Necklace,"<meta charset=""utf-8""><meta charset=""utf-8""><span>gunmetal fringe necklace 30 inch</span><br>",MONA ASSEMI,Necklace,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/GunmetalFringe.png?v=1588455390,1,gunmetal fringe necklace 30 inch,false,,,,,,,,,,,,,,,,,lb,,
gunmetal-band,Gunmetal Band,"<meta charset=""utf-8""><span>Gunmetal ring<br><strong>Size 6</strong></span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,125.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/5c981515-4202-4179-966c-4905912db8d7.png?v=1588455155,1,Gunmetal ring,false,,,,,,,,,,,,,,,,,lb,,
gold-square-set-rings,Gold Square Set Rings,"<meta charset=""utf-8""><span><span>14 kt gold plated square rings <br>Sizes: 10.5, </span></span><meta charset=""utf-8""><span><span>10.5, </span></span><meta charset=""utf-8""><span><span>10.5, </span></span><meta charset=""utf-8""><span><span>10.5, </span></span><meta charset=""utf-8""><span><span>10.5, 7, </span></span><meta charset=""utf-8""><span><span>7, 3.5, </span></span><meta charset=""utf-8""><span><span>3.5, </span></span><meta charset=""utf-8""><span><span>3.5, </span></span><meta charset=""utf-8""><span><span>3.5, </span></span><meta charset=""utf-8""><span>3.5</span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,168.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/GoldStacks.png?v=1588455188,1,,false,,,,,,,,,,,,,,,,,lb,,
14k-gold-plated-ring-1,14k Gold Plated Ring,"<meta charset=""utf-8""><span>14 k gold plated faceted ring <br><strong>Size: 10.5</strong></span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/GoldRing2.png?v=1588454959,1,,false,,,,,,,,,,,,,,,,,lb,,
14k-gold-plated-ring,14k Gold Plated Ring,"<meta charset=""utf-8""><span>14 k gold plated faceted ring</span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/e9421fd7-d5ec-4d03-bd44-4099e817c2ae.png?v=1588454897,1,14 k gold plated faceted ring,false,,,,,,,,,,,,,,,,,lb,,
